"Sl. No.","Date","Invoice No.","Model","Part No.","Part Description","Remarks (Nature)","SN","Spare","Qty","Replacement Status","Rep Serial No","Addl Remarks"
"186","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"187","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"188","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"189","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"190","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"191","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"192","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"193","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"194","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"195","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"196","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"197","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"198","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"199","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"200","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0118","Adult Cuff with connector M5124(25cm-35cm)","","","","1","Replacement Pending from BLT","",""
"201","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"202","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"203","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"204","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"205","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"206","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"207","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"208","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"209","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"210","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"211","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"212","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"213","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"214","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"215","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"216","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"217","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"218","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"219","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"220","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"221","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"222","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"223","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"224","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"225","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"226","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"227","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"228","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"229","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"230","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"231","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"232","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"233","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"234","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"235","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"236","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"237","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"238","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"239","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"240","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"241","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"242","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"243","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"244","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"245","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"246","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"247","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"248","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"249","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"250","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"251","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"252","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"253","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"254","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"255","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"256","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"257","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"258","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"259","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"260","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"261","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"262","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"263","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"264","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"265","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"266","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"267","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"268","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"269","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"270","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"271","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"272","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"273","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"274","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"275","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"276","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"277","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"278","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"279","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"280","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"281","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"282","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"283","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
"284","28 Jul 2026","gfyhg","TS-III Analog Upgradable","15-100-0121","Paediatric Cuff with connector M5123(18-26cm)","","","","1","Replacement Pending from BLT","",""
